created_at,entry_id,field1,field2,field3,field4,field5
2018-03-02 11:30:31 UTC,131,21.58,52.00,77.00,6390.49,997.37
2018-03-02 11:30:55 UTC,132,21.63,52.00,77.00,6390.49,997.45
2018-03-02 11:31:20 UTC,133,21.54,52.00,77.00,6395.20,997.40
2018-03-02 11:31:44 UTC,134,21.49,52.00,77.00,6395.20,997.38
2018-03-02 11:32:08 UTC,135,21.45,52.00,77.00,6395.20,997.33
2018-03-02 11:32:32 UTC,136,21.45,52.00,77.00,6390.49,997.43
2018-03-02 11:32:56 UTC,137,21.46,52.00,77.00,6390.49,997.42
2018-03-02 11:33:20 UTC,138,21.43,52.00,77.00,6385.80,997.51
2018-03-02 11:33:44 UTC,139,21.45,52.00,77.00,6390.49,997.50
2018-03-02 11:34:09 UTC,140,21.48,52.00,77.00,6385.80,997.47
2018-03-02 11:34:35 UTC,141,21.40,52.00,77.00,6381.09,997.44
2018-03-02 11:34:59 UTC,142,21.33,52.00,77.00,6390.49,997.48
2018-03-02 11:35:23 UTC,143,21.31,52.00,77.00,6390.49,997.50
2018-03-02 11:35:47 UTC,144,21.35,52.00,77.00,6390.49,997.53
2018-03-02 11:36:12 UTC,145,21.40,52.00,77.00,6381.09,997.51
2018-03-02 11:36:37 UTC,146,21.38,52.00,77.00,6390.49,997.50
2018-03-02 11:37:01 UTC,147,21.29,52.00,77.00,6395.20,997.50
2018-03-02 11:37:25 UTC,148,21.33,52.00,77.00,6390.49,997.45
2018-03-02 11:37:49 UTC,149,21.34,52.00,77.00,6390.49,997.42
2018-03-02 11:38:13 UTC,150,21.28,52.00,77.00,6390.49,997.51
2018-03-02 11:38:38 UTC,151,21.28,52.00,77.00,6390.49,997.48
2018-03-02 11:39:02 UTC,152,21.31,52.00,77.00,6385.80,997.52
2018-03-02 11:39:26 UTC,153,21.29,52.00,77.00,6385.80,997.52
2018-03-02 11:39:51 UTC,154,21.25,52.00,77.00,6385.80,997.52
2018-03-02 11:40:15 UTC,155,21.20,52.00,77.00,6390.49,997.55
2018-03-02 11:40:39 UTC,156,21.29,52.00,77.00,6390.49,997.52
2018-03-02 11:41:03 UTC,157,21.21,52.00,77.00,6376.40,997.51
2018-03-02 11:41:27 UTC,158,21.30,52.00,77.00,6385.80,997.44
2018-03-02 11:41:52 UTC,159,21.28,52.00,77.00,6385.80,997.49
2018-03-02 11:42:16 UTC,160,21.11,52.00,77.00,6385.80,997.47
2018-03-02 11:42:41 UTC,161,21.02,52.00,77.00,6385.80,997.39


